ticker,sector,market_cap,gross_margin,roe,debt_to_equity,fcf
MMM,Industrials,80986398720.0,0.4111,0.9476,316.755,638000000.0
AOS,Industrials,9953433600.0,0.38201,0.27603,18.035,473800000.0
ABT,Healthcare,219828781056.0,0.56172,,27.087,6351000000.0
ABBV,Healthcare,336110419968.0,0.71015,0.884,4789.603,17832000000.0
ACN,Technology,172555190272.0,0.32069,0.26928,25.881,8614518000.0
ADBE,Technology,156729180160.0,0.89248,0.52254003,57.486,7873000000.0
AMD,Technology,281572343808.0,0.53578,0.03904,8.174,2405000000.0
AES,Utilities,9618079744.0,0.17954999,0.05583,361.561,-4640000000.0
AFL,Financial Services,54540263424.0,0.45408002,0.14408,42.513,2707000000.0
A,Healthcare,33957130240.0,0.53576,0.18882999,60.039,1373000000.0
APD,Basic Materials,65775104000.0,0.31947002,0.095790006,98.527,-3150000000.0
ABNB,Consumer Cyclical,87743004672.0,0.83048,0.3206,28.726,4518000000.0
AKAM,Technology,11345602560.0,0.59073,0.09821,100.746,833904000.0
ALB,Basic Materials,8797512704.0,0.039300002,-0.09992,35.757,-983722000.0
ARE,Real Estate,13507445760.0,0.70157,0.00784,62.825,1504524000.0
ALGN,Healthcare,15018126336.0,0.70022005,0.108430006,3.124,622651000.0
ALLE,Industrials,14050495488.0,0.44827998,0.38994,124.847,582900000.0
LNT,Utilities,16396395520.0,0.46493,0.10712,149.852,1167000000.0
ALL,Financial Services,50845057024.0,0.22642,0.19723,36.672,8721000000.0
GOOGL,Communication Services,2333934878720.0,0.58943003,0.34829,11.481,72764000000.0
GOOG,Communication Services,2333244653568.0,0.58943003,0.34829,11.481,72764000000.0
MO,Consumer Defensive,100797579264.0,0.70849,,,8611000000.0
AMZN,Consumer Cyclical,2471391657984.0,0.49158,0.2524,51.641,32878000000.0
AMCR,Consumer Cyclical,22065604608.0,0.20004,0.20796,241.41,829000000.0
AEE,Utilities,26655731712.0,0.49065,0.10159001,158.916,-1647000000.0
AEP,Utilities,57666351104.0,0.47134,0.10421,171.503,-966300000.0
AXP,Financial Services,216843993088.0,0.64247,0.32808,187.933,12139000000.0
AIG,Financial Services,45662625792.0,0.32013,0.057439998,21.112,3273000000.0
AMT,Real Estate,104961220608.0,0.74551004,0.28421,446.681,3700500000.0
AWK,Utilities,27050115072.0,0.60332,0.10428,137.735,-963000000.0
